"nCat","a","c1","c2","c3","c4"
5,2.18868139199913,0.57095141144156,-0.825175551354315,-2.36040816503177,-3.74679313454895
5,2.14522223128006,-0.269656055896555,-1.36816997222849,-2.95213794534309,-4.11906082363862
5,2.10832591168582,-0.617278713445938,-1.79601806083605,-3.00769435556587,-4.12251038023933
5,2.24042600532994,-0.551748820335841,-2.09328905550466,-3.46789067020371,-4.93293027909309
5,2.21818553749472,-0.680161016916845,-2.10146250663353,-3.54897291381211,-5.16798985705694
5,2.20424807164818,-1.3889778597588,-2.50566026395334,-4.11838462414225,-5.68298876230398
5,2.99149615969509,-0.754669498163296,-2.54596402253256,-4.05518989556303,-6.15212364495399
5,2.95091293286532,1.22175635458656,-0.528956779668997,-2.28438299473451,-4.43770736787517
5,2.91102282190695,0.354750435200527,-1.1678351524184,-2.73745737563756,-4.81522392630626
5,2.86628613108769,-3.52201181929044,-5.63898588433861,-7.33324791378941,-9.39513026692772
5,2.80228760978207,-1.43455476793984,-2.98807552041119,-4.69970189468341,-6.35919510649592
5,2.79067854722962,-0.903298072291089,-2.49755164219008,-4.1836553618097,-5.91070573563142
5,3.498076595366,-0.100133775936229,-1.98451385379364,-4.38112166103276,-6.92102220700659
5,3.45171072240919,0.81726309043907,-1.24905838830678,-2.99483853209164,-5.492096055436
5,3.39187575504184,1.83321288105342,-0.555872078511877,-2.82855989618769,-5.15518236817193
5,3.48221000982448,-2.19520771211678,-4.79797128863309,-7.14587181553124,-9.31871491484653
5,3.44321517972276,-1.30912226059914,-3.21378998702516,-4.96237822984801,-7.26788414200921
5,3.3324689087458,-4.58107468415612,-6.50983327659845,-8.52788294453456,-10.7381355094486
